Time (days since 0000-01-01 00:00:00),Longwave (W/m^2),Shortwave (W/m^2),Latent (W/m^2),Sensible (W/m^2),Wind Stress u (N/m^2),Wind Stress v (N/m^2),Wind Speed 10m u (m/s),Wind Speed 10m v (m/s),Precipitation (kg/m^2/s)
733682,-35.4,0,-159.4054444,-55.43761111,0.5,-0.6,9.1,-13.8,0
733682.0417,-33.7,0,-155.6079444,-56.65319444,0.4,-0.6,9.5,-13.2,0
733682.0833,-32.8,0,-151.1929722,-56.36394444,0.4,-0.5,9.8,-12.4,0
733682.125,-37.6,0,-144.5374167,-53.11647222,0.4,-0.5,9.9,-11.6,0
733682.1667,-39.5,0,-136.1973889,-49.38597222,0.3,-0.4,9.7,-10.5,0
733682.2083,-46.8,0,-125.2624444,-44.89622222,0.3,-0.3,9.6,-9.3,0
733682.25,-49.9,0,-114.9180833,-41.49366667,0.2,-0.3,9.9,-8.2,0
733682.2917,-51.4,0,-102.251,-35.74905556,0.3,-0.2,9.7,-7.4,0
733682.3333,-52.5,0,-91.74602778,-32.40819444,0.2,-0.2,9.3,-6.3,0
733682.375,-54.6,0,-82.1405,-29.58761111,0.2,-0.1,9.1,-4.9,0
733682.4167,-59.4,1.2,-72.10177778,-26.36408333,0.2,-0.1,8.1,-3.6,0
733682.4583,-60.9,42.5,-61.19591667,-22.54002778,0.1,0,7.3,-0.9,0
733682.5,-65.9,133.4,-52.79227778,-18.55161111,0.1,0,6.6,2,0
733682.5417,-70.4,238.2,-49.66422222,-15.56283333,0.1,0,6.3,4.8,0
733682.5833,-75.3,336,-51.21969444,-13.96577778,0.1,0.1,6.1,7.3,0
733682.625,-87.3,413.4,-53.96688889,-12.90194444,0.1,0.1,6,9,0
733682.6667,-93,443.1,-55.32394444,-11.20569444,0.1,0.2,5.7,9.6,0
733682.7083,-94.3,423.6,-54.06463889,-9.342,0.1,0.2,5.2,9.8,0
733682.75,-89.9,358.3,-53.0325,-6.211305556,0.1,0.3,5,10.2,0
733682.7917,-86.8,267.5,-56.0875,0.756805556,0.2,0.3,5.8,10.4,0
733682.8333,-72,138.8,-56.03736111,12.51283333,0.2,0.3,6.3,10.5,0
733682.875,-57.9,36.8,-51.60930556,25.54244444,0.2,0.3,6.8,10.6,0
733682.9167,-41.7,0.2,-46.59502778,38.95352778,0.2,0.3,7.3,10.9,0
733682.9583,-26.7,0,-42.10808333,50.06008333,0.3,0.3,8.2,11.1,0
733683,-11.7,0,-37.47508333,55.94658333,0.3,0.4,8.7,11.3,0
733683.0417,-3.3,0,-30.60875,56.45955556,0.3,0.4,9.4,10.9,0
733683.0833,0.9,0,-21.58108333,55.92822222,0.4,0.3,10.8,9.2,0
733683.125,3,0,-10.26636111,54.72538889,0.4,0.2,12.4,4.4,0
733683.1667,3.4,0,-12.7675,40.70469444,0.4,0,12.6,-3.3,0
733683.2083,-8.4,0,-44.92722222,6.675805556,0.4,-0.2,12.2,-7.5,0
733683.25,-38.6,0,-83.873,-21.47061111,0.4,-0.3,12.4,-8,0
733683.2917,-57.4,0,-117.1092222,-38.49811111,0.5,-0.3,12.4,-7.7,0
733683.3333,-64.2,0,-131.5894444,-41.06886111,0.5,-0.3,12.2,-7.5,0
733683.375,-48.4,0,-138.2238611,-37.88655556,0.5,-0.3,12.2,-7.4,0
733683.4167,-38.1,0.6,-141.0858889,-33.93988889,0.5,-0.3,11.3,-7.3,0
733683.4583,-41.1,27.6,-140.4851667,-31.46791667,0.4,-0.3,11.2,-6.9,0
733683.5,-47,82.9,-137.8862778,-30.55958333,0.4,-0.2,11.1,-6.3,0
733683.5417,-52.2,160.5,-132.5085556,-29.088,0.3,-0.2,10.8,-5.6,0
733683.5833,-63.9,243.6,-125.1047222,-26.68716667,0.3,-0.1,10.5,-4.7,0
